Time,Module,Source,People,Status2026-07-05 17:03:57,Image Analysis,0001001.jpg,17,Completed
2026-07-05 17:03:57,Image Analysis,0001004.jpg,12,Completed
2026-07-05 17:03:58,Image Analysis,0001024.jpg,8,Completed
2026-07-05 17:03:58,Image Analysis,0001034.jpg,19,Completed
2026-07-05 17:03:58,Image Analysis,0001079.jpg,14,Completed
2026-07-05 17:03:59,Image Analysis,0002002.jpg,17,Completed
2026-07-05 17:03:59,Image Analysis,0002007.jpg,9,Completed
2026-07-05 17:04:00,Image Analysis,0002026.jpg,14,Completed
2026-07-05 17:04:00,Image Analysis,0002031.jpg,19,Completed
2026-07-05 17:04:00,Image Analysis,00030011.jpg,20,Completed
2026-07-05 17:04:01,Image Analysis,classroom.webp.webp,19,Completed
2026-07-05 17:04:01,Image Analysis,library.webp.webp,10,Completed
2026-07-05 17:05:50,Live Monitoring,Webcam,1.01,Completed
2026-07-05 17:05:54,Insights,Analytics,0,Viewed
